seed_row_id,dataset_name,provider,input_title,input_doi,candidate_id,candidate_title,candidate_year,candidate_doi,match_method,match_score,identity_status,decision_reason,evidence_url,reviewer,reviewed_at,notes
P001,MuST-C,openalex,The Multi-Sensor and Multi-Temporal Dataset of Multiple Crops for In-Field Phenotyping and Monitoring,10.1038/s41597-025-06462-y,W7118572638,The Multi-Sensor and Multi-Temporal Dataset of Multiple Crops for In-Field Phenotyping and Monitoring,2026,10.1038/s41597-025-06462-y,identifier:https://doi.org/10.1038/s41597-025-06462-y,1.0000,accepted,"Verified by identifier:https://doi.org/10.1038/s41597-025-06462-y (score=1.0000, source=repair)",https://doi.org/10.1038/s41597-025-06462-y,,,source_run: repair
P001,MuST-C,semantic_scholar,The Multi-Sensor and Multi-Temporal Dataset of Multiple Crops for In-Field Phenotyping and Monitoring,10.1038/s41597-025-06462-y,8365b88c4326e8e3eb4015272ece9bc7ac3bb266,The Multi-Sensor and Multi-Temporal Dataset of Multiple Crops for In-Field Phenotyping and Monitoring,2026,10.1038/s41597-025-06462-y,identifier:DOI:10.1038/s41597-025-06462-y,1.0000,accepted,"Verified by identifier:DOI:10.1038/s41597-025-06462-y (score=1.0000, source=s2retry)",https://www.semanticscholar.org/paper/8365b88c4326e8e3eb4015272ece9bc7ac3bb266,,,source_run: s2retry
P002,TomatoMAP,openalex,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping and 3D Reconstruction,10.1038/s41597-026-06926-9,W7132822694,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping,2026,10.1038/s41597-026-06926-9,identifier:https://doi.org/10.1038/s41597-026-06926-9,1.0000,accepted,"Verified by identifier:https://doi.org/10.1038/s41597-026-06926-9 (score=1.0000, source=hist)",https://doi.org/10.1038/s41597-026-06926-9,,,source_run: hist
P002,TomatoMAP,semantic_scholar,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping and 3D Reconstruction,10.1038/s41597-026-06926-9,a17bd08da0562423eb7cc8543795fc4e04ac2f4c,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping,2025,10.1038/s41597-026-06926-9,identifier:DOI:10.1038/s41597-026-06926-9,1.0000,accepted,"Verified by identifier:DOI:10.1038/s41597-026-06926-9 (score=1.0000, source=hist)",https://www.semanticscholar.org/paper/a17bd08da0562423eb7cc8543795fc4e04ac2f4c,,,source_run: hist
P003,AgriVision,openalex,AgriVision: A Benchmark Dataset for Advancing Real-World Robotic Vision in Densely Fruited Blueberry Crop,10.1038/s41597-025-06263-3,W4417424695,AgriVision: A Benchmark Dataset for Advancing Real-World Robotic Vision in Densely Fruited Blueberry Crop,2025,10.1038/s41597-025-06263-3,identifier:https://doi.org/10.1038/s41597-025-06263-3,1.0000,accepted,"Verified by identifier:https://doi.org/10.1038/s41597-025-06263-3 (score=1.0000, source=repair)",https://doi.org/10.1038/s41597-025-06263-3,,,source_run: repair
P003,AgriVision,semantic_scholar,AgriVision: A Benchmark Dataset for Advancing Real-World Robotic Vision in Densely Fruited Blueberry Crop,10.1038/s41597-025-06263-3,,,,,,,unknown,Provider did not resolve this seed in any run,,,,source_run: none
P004,MFO / Modern Fruit Orchards,openalex,A Dataset for Semantic and Instance Segmentation of Modern Fruit Orchards,,W4414197383,A Dataset for Semantic and Instance Segmentation of Modern Fruit Orchards,2025,10.1109/cvprw67362.2025.00535,search_title,1.0000,accepted,"Verified by search_title (score=1.0000, source=repair)",https://doi.org/10.1109/cvprw67362.2025.00535,,,source_run: repair
P004,MFO / Modern Fruit Orchards,semantic_scholar,A Dataset for Semantic and Instance Segmentation of Modern Fruit Orchards,,,,,,,,unknown,Provider did not resolve this seed in any run,,,,source_run: none
P005,Horti-M3-Tomato,openalex,A Three-Year Multimodal Holistic Dataset For Horticultural Tomato Cultivation,10.1038/s41597-026-07074-w,W7139031027,A Three-Year Multimodal Holistic Dataset For Horticultural Tomato Cultivation,2026,10.1038/s41597-026-07074-w,identifier:https://doi.org/10.1038/s41597-026-07074-w,1.0000,accepted,"Verified by identifier:https://doi.org/10.1038/s41597-026-07074-w (score=1.0000, source=repair)",https://doi.org/10.1038/s41597-026-07074-w,,,source_run: repair
P005,Horti-M3-Tomato,semantic_scholar,A Three-Year Multimodal Holistic Dataset For Horticultural Tomato Cultivation,10.1038/s41597-026-07074-w,09593312837b6f472ab2ab8d1a0b9e4020850bbe,A Three-Year Multimodal Holistic Dataset For Horticultural Tomato Cultivation,2026,10.1038/s41597-026-07074-w,identifier:DOI:10.1038/s41597-026-07074-w,1.0000,accepted,"Verified by identifier:DOI:10.1038/s41597-026-07074-w (score=1.0000, source=s2retry)",https://www.semanticscholar.org/paper/09593312837b6f472ab2ab8d1a0b9e4020850bbe,,,source_run: s2retry
P006,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes,openalex,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,10.1038/s41597-025-06049-7,W4416070172,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,2025,10.1038/s41597-025-06049-7,identifier:https://doi.org/10.1038/s41597-025-06049-7,1.0000,accepted,"Verified by identifier:https://doi.org/10.1038/s41597-025-06049-7 (score=1.0000, source=hist)",https://doi.org/10.1038/s41597-025-06049-7,,,source_run: hist
P006,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes,semantic_scholar,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,10.1038/s41597-025-06049-7,6c709d86cc944306b0a551bb951585ac28a777e8,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,2025,10.1038/s41597-025-06049-7,identifier:DOI:10.1038/s41597-025-06049-7,1.0000,accepted,"Verified by identifier:DOI:10.1038/s41597-025-06049-7 (score=1.0000, source=hist)",https://www.semanticscholar.org/paper/6c709d86cc944306b0a551bb951585ac28a777e8,,,source_run: hist
P007,BAWSeg,openalex,BAWSeg: A UAV Multispectral Benchmark for Barley Weed Segmentation,10.3390/rs18060915,W7138376711,BAWSeg: A UAV Multispectral Benchmark for Barley Weed Segmentation,2026,10.3390/rs18060915,identifier:https://doi.org/10.3390/rs18060915,1.0000,accepted,"Verified by identifier:https://doi.org/10.3390/rs18060915 (score=1.0000, source=repair)",https://doi.org/10.3390/rs18060915,,,source_run: repair
P007,BAWSeg,semantic_scholar,BAWSeg: A UAV Multispectral Benchmark for Barley Weed Segmentation,10.3390/rs18060915,2fba13604a76d357f4c37bb3af5a9affa2ce49eb,BAWSeg: A UAV Multispectral Benchmark for Barley Weed Segmentation,2026,10.3390/rs18060915,identifier:ARXIV:2603.01932,1.0000,accepted,"Verified by identifier:ARXIV:2603.01932 (score=1.0000, source=hist)",https://www.semanticscholar.org/paper/2fba13604a76d357f4c37bb3af5a9affa2ce49eb,,,source_run: hist
P008,SoyCotton,openalex,A Leaf-Level Dataset for Soybean-Cotton Detection and Segmentation,10.1038/s41597-026-07092-8,W4415085103,A Leaf-Level Dataset for Soybean-Cotton Detection and Segmentation,2026,10.1038/s41597-026-07092-8,identifier:https://doi.org/10.1038/s41597-026-07092-8,1.0000,accepted,"Verified by identifier:https://doi.org/10.1038/s41597-026-07092-8 (score=1.0000, source=hist)",https://doi.org/10.1038/s41597-026-07092-8,,,source_run: hist
P008,SoyCotton,semantic_scholar,A Leaf-Level Dataset for Soybean-Cotton Detection and Segmentation,10.1038/s41597-026-07092-8,014ad8f291deba9a984b5ccf94ceab61691f23b9,A Leaf-Level Dataset for Soybean-Cotton Detection and Segmentation,2025,10.1038/s41597-026-07092-8,identifier:DOI:10.1038/s41597-026-07092-8,1.0000,accepted,"Verified by identifier:DOI:10.1038/s41597-026-07092-8 (score=1.0000, source=hist)",https://www.semanticscholar.org/paper/014ad8f291deba9a984b5ccf94ceab61691f23b9,,,source_run: hist
P009,TomatoWUR,openalex,"TomatoWUR: An annotated dataset of tomato plants to quantitatively evaluate segmentation, skeletonisation, and plant-trait extraction algorithms for 3D plant phenotyping",10.1016/j.dib.2025.111852,W4412067220,"TomatoWUR: An annotated dataset of tomato plants to quantitatively evaluate segmentation, skeletonisation, and plant-trait extraction algorithms for 3D plant phenotyping",2025,10.1016/j.dib.2025.111852,identifier:https://doi.org/10.1016/j.dib.2025.111852,1.0000,accepted,"Verified by identifier:https://doi.org/10.1016/j.dib.2025.111852 (score=1.0000, source=hist)",https://doi.org/10.1016/j.dib.2025.111852,,,source_run: hist
P009,TomatoWUR,semantic_scholar,"TomatoWUR: An annotated dataset of tomato plants to quantitatively evaluate segmentation, skeletonisation, and plant-trait extraction algorithms for 3D plant phenotyping",10.1016/j.dib.2025.111852,4c0ec81b6fedab3cf9cdfb3430a551fd7205e340,"TomatoWUR: An annotated dataset of tomato plants to quantitatively evaluate segmentation, skeletonisation, and plant-trait extraction algorithms for 3D plant phenotyping",2025,10.1016/j.dib.2025.111852,identifier:DOI:10.1016/j.dib.2025.111852,1.0000,accepted,"Verified by identifier:DOI:10.1016/j.dib.2025.111852 (score=1.0000, source=hist)",https://www.semanticscholar.org/paper/4c0ec81b6fedab3cf9cdfb3430a551fd7205e340,,,source_run: hist
P010,WeedsGalore,openalex,WeedsGalore: A Multispectral and Multitemporal UAV-Based Dataset for Crop and Weed Segmentation in Agricultural Maize Fields,,W4409263155,WeedsGalore: A Multispectral and Multitemporal UAV-Based Dataset for Crop and Weed Segmentation in Agricultural Maize Fields,2025,10.1109/wacv61041.2025.00467,search_title,1.0000,accepted,"Verified by search_title (score=1.0000, source=hist)",https://doi.org/10.1109/wacv61041.2025.00467,,,source_run: hist
P010,WeedsGalore,semantic_scholar,WeedsGalore: A Multispectral and Multitemporal UAV-Based Dataset for Crop and Weed Segmentation in Agricultural Maize Fields,,0f1a18fdb7e117206a8c20cd3c98dabe4d639d3c,WeedsGalore: A Multispectral and Multitemporal UAV-Based Dataset for Crop and Weed Segmentation in Agricultural Maize Fields,2025,10.1109/wacv61041.2025.00467,search_title,1.0000,accepted,"Verified by search_title (score=1.0000, source=hist)",https://www.semanticscholar.org/paper/0f1a18fdb7e117206a8c20cd3c98dabe4d639d3c,,,source_run: hist
P011,PlantSeg,openalex,A Large-Scale In-the-wild Dataset for Plant Disease Segmentation,10.1038/s41597-025-06513-4,W7128430662,A Large-Scale In-the-wild Dataset for Plant Disease Segmentation,2026,10.1038/s41597-025-06513-4,identifier:https://doi.org/10.1038/s41597-025-06513-4,1.0000,accepted,"Verified by identifier:https://doi.org/10.1038/s41597-025-06513-4 (score=1.0000, source=hist)",https://doi.org/10.1038/s41597-025-06513-4,,,source_run: hist
P011,PlantSeg,semantic_scholar,A Large-Scale In-the-wild Dataset for Plant Disease Segmentation,10.1038/s41597-025-06513-4,d194ed515a9e41aecd584113c9ea95cfee09b9e9,A Large-Scale In-the-wild Dataset for Plant Disease Segmentation,2026,10.1038/s41597-025-06513-4,identifier:DOI:10.1038/s41597-025-06513-4,1.0000,accepted,"Verified by identifier:DOI:10.1038/s41597-025-06513-4 (score=1.0000, source=hist)",https://www.semanticscholar.org/paper/d194ed515a9e41aecd584113c9ea95cfee09b9e9,,,source_run: hist
P012,MFWD,openalex,Manually annotated and curated Dataset of diverse Weed Species in Maize and Sorghum for Computer Vision,10.1038/s41597-024-02945-6,W4391140742,Manually annotated and curated Dataset of diverse Weed Species in Maize and Sorghum for Computer Vision,2024,10.1038/s41597-024-02945-6,identifier:https://doi.org/10.1038/s41597-024-02945-6,1.0000,accepted,"Verified by identifier:https://doi.org/10.1038/s41597-024-02945-6 (score=1.0000, source=repair)",https://doi.org/10.1038/s41597-024-02945-6,,,source_run: repair
P012,MFWD,semantic_scholar,Manually annotated and curated Dataset of diverse Weed Species in Maize and Sorghum for Computer Vision,10.1038/s41597-024-02945-6,4989d9c9236d181a6bf32fd612ca7ee4070865f8,Manually annotated and curated Dataset of diverse Weed Species in Maize and Sorghum for Computer Vision,2024,10.1038/s41597-024-02945-6,identifier:DOI:10.1038/s41597-024-02945-6,1.0000,accepted,"Verified by identifier:DOI:10.1038/s41597-024-02945-6 (score=1.0000, source=s2retry)",https://www.semanticscholar.org/paper/4989d9c9236d181a6bf32fd612ca7ee4070865f8,,,source_run: s2retry
P013,TomatoPGT ecosystem,openalex,TomatoPGT: A 3D point cloud dataset of tomato plants for segmentation and plant-trait extraction,10.1016/j.dib.2026.112642,W7134131073,TomatoPGT: A 3D point cloud dataset of tomato plants for segmentation and plant-trait extraction,2026,10.1016/j.dib.2026.112642,identifier:https://doi.org/10.1016/j.dib.2026.112642,1.0000,accepted,"Verified by identifier:https://doi.org/10.1016/j.dib.2026.112642 (score=1.0000, source=repair)",https://doi.org/10.1016/j.dib.2026.112642,,,source_run: repair
P013,TomatoPGT ecosystem,semantic_scholar,TomatoPGT: A 3D point cloud dataset of tomato plants for segmentation and plant-trait extraction,10.1016/j.dib.2026.112642,fbdee8f893297a2ccdeaa4c139359c3d8941ff2b,TomatoPGT: A 3D point cloud dataset of tomato plants for segmentation and plant-trait extraction,2026,10.1016/j.dib.2026.112642,search_title,1.0000,accepted,"Verified by search_title (score=1.0000, source=s2retry)",https://www.semanticscholar.org/paper/fbdee8f893297a2ccdeaa4c139359c3d8941ff2b,,,source_run: s2retry
